County,MLO,ID,Population_density
Plymouth,Plymouth 008,E02003129,"2,917.10"
Plymouth,Plymouth 009,E02003130,"5,625.00"
Plymouth,Plymouth 010,E02003131,"2,680.70"
Plymouth,Plymouth 011,E02003132,"4,744.10"
Plymouth,Plymouth 012,E02003133,"4,011.40"
Plymouth,Plymouth 013,E02003134,"3,594.50"
Plymouth,Plymouth 014,E02003135,"2,699.40"
Plymouth,Plymouth 015,E02003136,"1,825.70"
Plymouth,Plymouth 016,E02003137,"4,031.70"
Plymouth,Plymouth 017,E02003138,"5,455.80"
Plymouth,Plymouth 018,E02003139,"5,200.90"
Plymouth,Plymouth 019,E02003140,"2,124.60"
Plymouth,Plymouth 020,E02003141,"9,634.40"
Plymouth,Plymouth 021,E02003142,"3,914.40"
Plymouth,Plymouth 022,E02003143,"3,833.20"
Plymouth,Plymouth 023,E02003144,"9,436.60"
Plymouth,Plymouth 024,E02003145,"5,502.50"
Plymouth,Plymouth 025,E02003146,"10,376.30"
Plymouth,Plymouth 026,E02003147,"4,403.40"
Plymouth,Plymouth 027,E02003148,"7,394.10"
Plymouth,Plymouth 028,E02003149,"4,585.30"
Plymouth,Plymouth 030,E02003151,"1,786.00"
Plymouth,Plymouth 031,E02003152,"1,435.30"
Plymouth,Plymouth 032,E02003153,"3,097.50"
Plymouth,Plymouth 033,E02006989,"6,487.20"
Plymouth,Plymouth 034,E02006990,"4,796.30"
Somerset,Sedgemoor 001,E02006061,200
Somerset,Sedgemoor 002,E02006062,175.4
Somerset,Sedgemoor 003,E02006063,74
Somerset,Sedgemoor 004,E02006064,"3,697.00"
Somerset,Sedgemoor 005,E02006065,"2,218.00"
Somerset,Sedgemoor 006,E02006066,170
Somerset,Sedgemoor 007,E02006067,66.9
Somerset,Sedgemoor 008,E02006068,"3,135.40"
Somerset,Sedgemoor 009,E02006069,"4,657.80"
Somerset,Sedgemoor 010,E02006070,948.7
Somerset,Sedgemoor 011,E02006071,527.8
Somerset,Sedgemoor 012,E02006072,82.7
Somerset,Sedgemoor 013,E02006073,"4,138.90"
Somerset,Sedgemoor 014,E02006074,229.3
Somerset,Somerset West and Taunton 001,E02006113,"2,249.30"
Somerset,Somerset West and Taunton 002,E02006114,63.4
Somerset,Somerset West and Taunton 003,E02006115,189.4
Somerset,Somerset West and Taunton 004,E02006116,33.2
Somerset,Somerset West and Taunton 005,E02006117,16.4
Somerset,Somerset West and Taunton 006,E02006099,116.4
Somerset,Somerset West and Taunton 007,E02006100,377.7
Somerset,Somerset West and Taunton 008,E02006104,852.6
Somerset,Somerset West and Taunton 009,E02006103,122
Somerset,Somerset West and Taunton 010,E02006102,"4,481.20"
Somerset,Somerset West and Taunton 011,E02006105,"4,906.00"
Somerset,Somerset West and Taunton 012,E02006106,788.9
Somerset,Somerset West and Taunton 013,E02006101,66.1
Somerset,Somerset West and Taunton 014,E02006107,"4,390.10"
Somerset,Somerset West and Taunton 015,E02006108,"2,848.90"
Somerset,Somerset West and Taunton 016,E02006109,655.9
Somerset,Somerset West and Taunton 017,E02006111,146.3
Somerset,Somerset West and Taunton 018,E02006110,"2,423.60"
Somerset,Somerset West and Taunton 019,E02006112,80.4
South Gloucestershire,South Gloucestershire 001,E02003090,441.3
South Gloucestershire,South Gloucestershire 002,E02003091,482.4
South Gloucestershire,South Gloucestershire 003,E02003092,154.6
South Gloucestershire,South Gloucestershire 004,E02003093,90.2
South Gloucestershire,South Gloucestershire 005,E02003094,200.2
South Gloucestershire,South Gloucestershire 006,E02003095,"1,674.10"
South Gloucestershire,South Gloucestershire 007,E02003096,"4,960.30"
South Gloucestershire,South Gloucestershire 008,E02003097,"1,284.40"
South Gloucestershire,South Gloucestershire 009,E02003098,"3,612.20"
South Gloucestershire,South Gloucestershire 010,E02003099,"3,876.70"
South Gloucestershire,South Gloucestershire 012,E02003101,"6,103.40"
South Gloucestershire,South Gloucestershire 013,E02003102,847.8
South Gloucestershire,South Gloucestershire 014,E02003103,"5,266.10"
South Gloucestershire,South Gloucestershire 015,E02003104,"4,155.30"
South Gloucestershire,South Gloucestershire 016,E02003105,850.5
South Gloucestershire,South Gloucestershire 018,E02003107,"2,776.80"
South Gloucestershire,South Gloucestershire 019,E02003108,399.9
South Gloucestershire,South Gloucestershire 020,E02003109,"4,177.80"
South Gloucestershire,South Gloucestershire 021,E02003110,"3,632.60"
South Gloucestershire,South Gloucestershire 022,E02003111,"4,445.20"
South Gloucestershire,South Gloucestershire 023,E02003112,"5,553.60"
South Gloucestershire,South Gloucestershire 024,E02003113,61.5
South Gloucestershire,South Gloucestershire 025,E02003114,"5,310.80"
